"","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도"
"10892","경상북도","청송","일반국도","31호","청송로",2,"경상북도 포항시 북구 송라면 광천길 2","경상북도 포항시 북구 송라면 광천리 41-81",36.22751793
"10893","경상북도","포항","일반국도","7호","동해대로",2,"경상북도 구미시 선산읍 선산대로 1380","경상북도 구미시 선산읍 동부리 687-18",36.23793427
"10894","경상북도","구미","일반국도","33호","선산대로",2,"경상북도 경산시 진량읍 공단로 401","경상북도 경산시 진량읍 신상리 589-4",35.86738444
"10895","경상북도","경산","시도","","공단로",2,"경상북도 경산시 진량읍 공단로 401","경상북도 경산시 진량읍 신상리 589-4",35.86738444
"10896","경상북도","경산","시도","","공단로",1,"경상북도 경산시 자인면 공단로 49","경상북도 경산시 자인면 단북리 200",35.83663084
"10897","경상북도","경산","시도","","공단로",2,"경상북도 군위군 우보면 아랫라불길 1","경상북도 군위군 우보면 나호리 987-1",36.18533396
"10898","경상북도","군위","지방도","919호","효우로",2,"경상북도 군위군 효령면 거매2길 41-6","경상북도 군위군 효령면 거매리 379",36.15012494
"10899","경상북도","군위","지방도","919호","치산효령로",2,"경상북도 구미시 인동가산로 382","경상북도 구미시 구평동 120-16",36.0922355
"10900","경상북도","구미","지방도","514호","인동가산로",1,"경상북도 구미시 인동가산로 382","경상북도 구미시 구평동 120-16",36.0922355
"10901","경상북도","구미","지방도","514호","인동가산로",1,"경상북도 고령군 성산면 동고령산단로 13","경상북도 고령군 성산면 무계리 665",35.76929382
"10902","경상북도","고령","지방도","905호","성암로",2,"경상북도 경주시 양북면 불국로 1464-6","경상북도 경주시 양북면 장항리 451",35.77963592
"10903","경상북도","경주","일반국도","4호","토함산로",1,"경상북도 경주시 외동읍 신계상신길 120-6","경상북도 경주시 외동읍 신계리 345",35.77015737
"10904","경상북도","경주","일반국도","4호","토함산로",1,"경상북도 경주시 건천읍 대곡용명길 268-54","경상북도 경주시 건천읍 대곡리 361-1",35.85941733
"10905","경상북도","경주","일반국도","20호","건포산업로",2,"","경상북도 경주시 안강읍 사방리 477-5",35.93571471
"10906","경상북도","경주","일반국도","20호","건포산업로",2,"경상북도 경주시 양남면 나산상라길 156-54","경상북도 경주시 양남면 나산리 798",35.72106016
"10907","경기도","부천시","시도","17번","중동로",3,"","경기도 부천시 삼정동 301",37.518669319
"10908","경상북도","구미","기타","","영남대로",1,"경상북도 경주시 내남면 포석로 38-28","경상북도 경주시 내남면 노곡리 산 262-20",35.74451887
"10909","경상북도","경주","기타","","영남대로",1,"경상북도 경주시 외동읍 제내길 28-3","경상북도 경주시 외동읍 제내리 655",35.71302112
"10910","경상북도","경주","일반국도","7호","양금로",1,"경상북도 포항시 남구 연일읍 원서길 263","경상북도 포항시 남구 연일읍 중명리 440",35.99186893
"10911","경상북도","포항남부","일반국도","31호","시청로",1,"경상북도 포항시 남구 대송면 운제로 437","경상북도 포항시 남구 대송면 대각리 429",35.95145465
"10912","경상북도","포항남부","기타","","아포대로",1,"경상북도 울진군 기성면 동해대로 1406","경상북도 울진군 기성면 황보리 1-5",36.76040786
"10913","경상북도","울진","일반국도","7호","동해대로",2,"","경상북도 울진군 매화면 매화리 284-37",36.92208133
"10914","경상북도","울진","시도","","포은로",2,"경상북도 군위군 효령면 경북대로 2703-46","경상북도 군위군 효령면 중구리 284-6",36.15744482
"10915","경상북도","군위","일반국도","5호","참별로",1,"경상북도 군위군 효령면 효령공단길 33","경상북도 군위군 효령면 중구리 17-23",36.1530697
"10916","경상북도","군위","일반국도","5호","청송로",2,"","경상북도 포항시 남구 구룡포읍 성동리 478",35.94893476
